AGNO;RBD;DGV_RBD;NOM_RBD;MRUN;RUT_SOSTENEDOR;P_JURIDICA;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;LATITUD;LONGITUD;CONVENIO_PIE;ENS_01;ENS_02;ENS_03;ENS_04;ENS_05;ENS_06;ENS_07;ENS_08;ENS_09;ENS_10;ENS_11;MATRICULA;ESTADO_ESTAB;ORI_RELIGIOSA;ORI_OTRO_GLOSA;PAGO_MATRICULA;PAGO_MENSUAL
2019;1;9;LICEO POLITECNICO ARICA; ;69010100;1;15;AYP;151;15101;ARICA;151;ARICA;2;1;0;-18,487274170000;-70,294738770000;1;463;510;563;610;663;863;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2019;2;7;PARVULARIO LAS ESPIGUITAS; ;69010100;1;15;AYP;151;15101;ARICA;151;ARICA;2;1;0;-18,469861980000;-70,302757260000;1;10;0;0;0;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2019;3;5;ESC. PEDRO VICENTE GUTIERREZ TORRES; ;69010100;1;15;AYP;151;15101;ARICA;151;ARICA;2;1;1;-18,503580090000;-70,260826110000;0;165;167;363;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2019;4;3;LICEO OCTAVIO PALMA PEREZ; ;69010100;1;15;AYP;151;15101;ARICA;151;ARICA;2;1;0;-18,474243160000;-70,308265690000;1;310;0;0;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2019;5;1;JOVINA NARANJO FERNANDEZ; ;69010100;1;15;AYP;151;15101;ARICA;151;ARICA;2;1;0;-18,476903920000;-70,313453670000;1;110;310;363;0;0;0;0;0;0;0;0;1;1;7;PLURALISTA;GRATUITO;GRATUITO
2019;7;8;L. POLI. ANTONIO VARAS DE LA BARRA; ;69010100;1;15;AYP;151;15101;ARICA;151;ARICA;2;1;0;-18,476146700000;-70,288368230000;1;410;510;610;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2019;8;6;COLEGIO INTEGRADO EDUARDO FREI MONTALVA; ;69010100;1;15;AYP;151;15101;ARICA;151;ARICA;2;1;0;-18,482490540000;-70,317581180000;1;10;110;310;0;0;0;0;0;0;0;0;1;1;7;LAICO;GRATUITO;GRATUITO
2019;9;4;ESCUELA REPUBLICA DE ISRAEL; ;69010100;1;15;AYP;151;15101;ARICA;151;ARICA;2;1;0;-18,486848830000;-70,302452090000;1;10;110;0;0;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2019;10;8;ESCUELA REPUBLICA DE FRANCIA; ;69010100;1;15;AYP;151;15101;ARICA;151;ARICA;2;1;0;-18,474365230000;-70,309043880000;1;10;110;0;0;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2019;11;6;ESC. GRAL. PEDRO LAGOS MARCHANT; ;69010100;1;15;AYP;151;15101;ARICA;151;ARICA;2;1;0;-18,491016390000;-70,311553960000;1;10;110;0;0;0;0;0;0;0;0;0;1;1;7;LAICA;GRATUITO;GRATUITO
2019;12;4;ESCUELA GRAL JOSE MIGUEL CARRERA; ;69010100;1;15;AYP;151;15101;ARICA;151;ARICA;2;1;0;-18,491926190000;-70,293968200000;1;10;110;0;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
