decreto,factura,fecha_factura,fecha_decreto,cantidad,valor_clp,dias_factura_decreto
120,200597,2021-04-22,2021-05-18,2,549590,26
121,5210,2021-04-23,2021-05-18,2,1540000,25
123,38,2022-04-21,2022-05-12,1,829990,21
133,1301058,2020-05-07,2020-06-12,1,422485,36
143,427,2021-05-04,2021-06-03,8,1189048,30
156,407,2020-05-22,2020-06-18,15,10969600,27
202,383,2021-07-30,2021-08-17,4,5999980,18
206,2,2021-06-05,2021-08-24,28,3665200,80
207,13960,2021-07-02,2021-08-24,106,15124186,53
225,183914,2020-07-20,2020-08-18,7,6037001,29
228,13982,2021-07-22,2021-09-09,40,5688200,49
229,13985,2021-07-23,2021-09-09,200,69999846,48
230,13995,2021-07-28,2021-09-09,50,17499962,43
235,1049,2021-08-27,2021-09-27,2,1306620,31
259,3684,2021-07-09,2021-10-06,2,309400,89
263,13981,2021-07-22,2021-10-06,175,24885875,76
265,1220,2020-08-13,2020-09-16,47,3871260,34
266,1221,2020-08-13,2020-09-16,53,4365453,34
382,9615,2020-12-10,2020-12-24,4,606176,14
397,7908,2020-04-06,2020-12-30,7,314795,268
401,7907,2020-04-06,2020-12-30,22,989363,268
