dependencia_original,decreto,fecha_decreto,factura,fecha_factura,modelo_original,serie_original,valor_clp,pagina_pdf,tabla,fila_tabla,id_fila,dependencia,familia,rbd,serie,clave_serie
Escuela Volcán Llaima,265,2020-09-16,1220,2020-08-13,Tablet Huawei Mediapad T3 7”,8JUBB20302214379,82367,63,1,4,con_comodato_63_1_4,Volcán Llaima,Huawei T3,19927,8JUBB20302214379,1220|8JUBB20302214379
Escuela Volcán Llaima,265,2020-09-16,1220,2020-08-13,Tablet Huawei Mediapad T3 7”,8JUBB20302214368,82367,63,1,10,con_comodato_63_1_10,Volcán Llaima,Huawei T3,19927,8JUBB20302214368,1220|8JUBB20302214368
Escuela Volcán Llaima,265,2020-09-16,1220,2020-08-13,Tablet Huawei Mediapad T3 7”,8JUBB20302214397,82367,63,1,11,con_comodato_63_1_11,Volcán Llaima,Huawei T3,19927,8JUBB20302214397,1220|8JUBB20302214397
Escuela Volcán Llaima,265,2020-09-16,1220,2020-08-13,Tablet Huawei Mediapad T3 7”,8JUBB20302214167,82367,63,1,12,con_comodato_63_1_12,Volcán Llaima,Huawei T3,19927,8JUBB20302214167,1220|8JUBB20302214167
Escuela Volcán Llaima,265,2020-09-16,1220,2020-08-13,Tablet Huawei Mediapad T3 7”,8JUBB20302214202,82367,64,2,6,con_comodato_64_2_6,Volcán Llaima,Huawei T3,19927,8JUBB20302214202,1220|8JUBB20302214202
Escuela Volcán Llaima,265,2020-09-16,1220,2020-08-13,Tablet Huawei Mediapad T3 7”,8JUBB20302214156,82367,64,2,12,con_comodato_64_2_12,Volcán Llaima,Huawei T3,19927,8JUBB20302214156,1220|8JUBB20302214156
Escuela Volcán Llaima,265,2020-09-16,1220,2020-08-13,Tablet Huawei Mediapad T3 7”,8JUBB20302214152,82367,64,2,14,con_comodato_64_2_14,Volcán Llaima,Huawei T3,19927,8JUBB20302214152,1220|8JUBB20302214152
Escuela Volcán Llaima,265,2020-09-16,1220,2020-08-13,Tablet Huawei Mediapad T3 7”,8JUBB20302214147,82367,64,2,19,con_comodato_64_2_19,Volcán Llaima,Huawei T3,19927,8JUBB20302214147,1220|8JUBB20302214147
Escuela Volcán Llaima,265,2020-09-16,1220,2020-08-13,Tablet Huawei Mediapad T3 7”,8JUBB20302214132,82367,64,2,21,con_comodato_64_2_21,Volcán Llaima,Huawei T3,19927,8JUBB20302214132,1220|8JUBB20302214132
Escuela Volcán Llaima,266,2020-09-16,1221,2020-08-13,Tablet Huawei Mediapad T3 7”,8JUBB20302213838,82367,66,4,3,con_comodato_66_4_3,Volcán Llaima,Huawei T3,19927,8JUBB20302213838,1221|8JUBB20302213838
Escuela Volcán Llaima,266,2020-09-16,1221,2020-08-13,Tablet Huawei Mediapad T3 7”,8JUBB20302212205,82367,66,4,12,con_comodato_66_4_12,Volcán Llaima,Huawei T3,19927,8JUBB20302212205,1221|8JUBB20302212205
Escuela Volcán Llaima,266,2020-09-16,1221,2020-08-13,Tablet Huawei Mediapad T3 7”,8JUBB20302212197,82367,66,4,18,con_comodato_66_4_18,Volcán Llaima,Huawei T3,19927,8JUBB20302212197,1221|8JUBB20302212197
Escuela Volcán Llaima,266,2020-09-16,1221,2020-08-13,Tablet Huawei Mediapad T3 7”,8JUBB20302212195,82367,66,4,20,con_comodato_66_4_20,Volcán Llaima,Huawei T3,19927,8JUBB20302212195,1221|8JUBB20302212195
Escuela Volcán Llaima,266,2020-09-16,1221,2020-08-13,Tablet Huawei Mediapad T3 7”,8JUBB20302212192,82367,66,4,21,con_comodato_66_4_21,Volcán Llaima,Huawei T3,19927,8JUBB20302212192,1221|8JUBB20302212192
