dependencia_original,decreto,fecha_decreto,factura,fecha_factura,modelo_original,serie_original,valor_clp,pagina_pdf,tabla,fila_tabla,id_fila,dependencia,familia,rbd,serie,observacion
Escuela Volcán Llaima,156,2020-06-18,407,2020-05-22,LAPTOP ASUS X407UABV100T,KANOGRO4F74043B,731307,39,1.0,2.0,no_habidos_39_1_2,Volcán Llaima,Asus portátil,19927,KANOGRO4F74043B,10.a
Escuela Volcán Llaima,156,2020-06-18,407,2020-05-22,LAPTOP ASUS X407UABV100T,KAN0GR04F833432,731307,39,1.0,3.0,no_habidos_39_1_3,Volcán Llaima,Asus portátil,19927,KAN0GR04F833432,10.a
Escuela Volcán Llaima,156,2020-06-18,407,2020-05-22,LAPTOP ASUS X407UABV100T,KAN0GR04F863439,731307,39,1.0,4.0,no_habidos_39_1_4,Volcán Llaima,Asus portátil,19927,KAN0GR04F863439,10.a
Escuela Volcán Llaima,156,2020-06-18,407,2020-05-22,LAPTOP ASUS X407UABV100T,KAN0GR04F77843A,731307,39,1.0,5.0,no_habidos_39_1_5,Volcán Llaima,Asus portátil,19927,KAN0GR04F77843A,10.a
Escuela Volcán Llaima,156,2020-06-18,407,2020-05-22,LAPTOP ASUS X407UABV100T,KAN0GR04F86943A,731307,39,1.0,6.0,no_habidos_39_1_6,Volcán Llaima,Asus portátil,19927,KAN0GR04F86943A,10.a
Escuela Volcán Llaima,265,2020-09-16,1220,2020-08-13,TABLET HUAWEI MEDIAPAD T3 7”,8JUBB20302214379,82367,39,1.0,7.0,no_habidos_39_1_7,Volcán Llaima,Huawei T3,19927,8JUBB20302214379,10.a
Escuela Volcán Llaima,265,2020-09-16,1220,2020-08-13,TABLET HUAWEI MEDIAPAD T3 7”,8JUBB20302214368,82367,39,1.0,8.0,no_habidos_39_1_8,Volcán Llaima,Huawei T3,19927,8JUBB20302214368,10.a
Escuela Volcán Llaima,265,2020-09-16,1220,2020-08-13,TABLET HUAWEI MEDIAPAD T3 7”,8JUBB20302214397,82367,39,1.0,9.0,no_habidos_39_1_9,Volcán Llaima,Huawei T3,19927,8JUBB20302214397,10.a
Escuela Volcán Llaima,265,2020-09-16,1220,2020-08-13,TABLET HUAWEI MEDIAPAD T3 7”,8JUBB20302214167,82367,39,1.0,10.0,no_habidos_39_1_10,Volcán Llaima,Huawei T3,19927,8JUBB20302214167,10.a
Escuela Volcán Llaima,265,2020-09-16,1220,2020-08-13,TABLET HUAWEI MEDIAPAD T3 7”,8JUBB20302214202,82367,39,1.0,11.0,no_habidos_39_1_11,Volcán Llaima,Huawei T3,19927,8JUBB20302214202,10.a
