familia,adquiridos,compra_clp,no_habidos,valor_no_habido_clp,tasa_no_habidos
Asus portátil,15,10969600,5.0,3656535.0,0.3333333333333333
Dell portátil,7,6037001,0.0,0.0,0.0
HP AIO Ryzen,4,2846620,0.0,0.0,0.0
HP AIO i3,1,422485,0.0,0.0,0.0
Huawei T3,100,8236713,19.0,1564973.0,0.19
Impresora Epson,1,240190,1.0,240190.0,1.0
Lenovo AIO,1,829990,0.0,0.0,0.0
Lenovo M8,4,606176,4.0,606176.0,1.0
Lenovo P11 + teclado/lápiz,250,87499808,231.0,80849769.0,0.924
Mlab 7,29,1304158,29.0,1304159.0,1.0
Samsung A7,1,309400,1.0,309400.0,1.0
Samsung A8/T295,359,50861909,338.0,47874176.0,0.9415041782729805
iPad Pro,4,5999980,0.0,0.0,0.0
