numero_anexo,dependencia_original,decreto,fecha_decreto,factura,fecha_factura,tipo,comodato,modelo_original,pagina_pdf,tabla,fila_tabla,id_fila,dependencia,familia,rbd
1,Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE/ T295 SILVER,31,1,2,sin_comodato_31_1_2,Volcán Llaima,Samsung A8/T295,19927
2,Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE/ T295 SILVER,31,1,3,sin_comodato_31_1_3,Volcán Llaima,Samsung A8/T295,19927
3,Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE/ T295 SILVER,31,1,4,sin_comodato_31_1_4,Volcán Llaima,Samsung A8/T295,19927
4,Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE/ T295 SILVER,31,1,5,sin_comodato_31_1_5,Volcán Llaima,Samsung A8/T295,19927
5,Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE/ T295 SILVER,31,1,6,sin_comodato_31_1_6,Volcán Llaima,Samsung A8/T295,19927
6,Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE/ T295 SILVER,31,1,7,sin_comodato_31_1_7,Volcán Llaima,Samsung A8/T295,19927
7,Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE/ T295 SILVER,31,1,8,sin_comodato_31_1_8,Volcán Llaima,Samsung A8/T295,19927
8,Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE/ T295 SILVER,31,1,9,sin_comodato_31_1_9,Volcán Llaima,Samsung A8/T295,19927
9,Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE/ T295 SILVER,31,1,10,sin_comodato_31_1_10,Volcán Llaima,Samsung A8/T295,19927
10,Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE/ T295 SILVER,31,1,11,sin_comodato_31_1_11,Volcán Llaima,Samsung A8/T295,19927
11,Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE/ T295 SILVER,31,1,12,sin_comodato_31_1_12,Volcán Llaima,Samsung A8/T295,19927
12,Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE/ T295 SILVER,31,1,13,sin_comodato_31_1_13,Volcán Llaima,Samsung A8/T295,19927
13,Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE/ T295 SILVER,31,1,14,sin_comodato_31_1_14,Volcán Llaima,Samsung A8/T295,19927
14,Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE/ T295 SILVER,31,1,15,sin_comodato_31_1_15,Volcán Llaima,Samsung A8/T295,19927
15,Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE/ T295 SILVER,31,1,16,sin_comodato_31_1_16,Volcán Llaima,Samsung A8/T295,19927
16,Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE/ T295 SILVER,31,1,17,sin_comodato_31_1_17,Volcán Llaima,Samsung A8/T295,19927
17,Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE/ T295 SILVER,31,1,18,sin_comodato_31_1_18,Volcán Llaima,Samsung A8/T295,19927
18,Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Tablet,No existe comodato,GALAXY TAB A8 2019 LTE/ T295 SILVER,31,1,19,sin_comodato_31_1_19,Volcán Llaima,Samsung A8/T295,19927
