RBD,NOM_RBD,NOM_COM_RBD,COD_DEPE,RURAL_RBD,ESTADO_ESTAB,MAT_TOTAL,ENS_01
1,LICEO POLITECNICO ARICA,ARICA,6,0,1,840,463
2,PARVULARIO LAS ESPIGUITAS,ARICA,6,0,1,121,10
3,ESC. PEDRO VICENTE GUTIERREZ TORRES,ARICA,6,1,1,588,165
4,LICEO OCTAVIO PALMA PEREZ,ARICA,6,0,1,1203,310
5,JOVINA NARANJO FERNANDEZ,ARICA,6,0,1,797,110
7,L. POLI. ANTONIO VARAS DE LA BARRA,ARICA,6,0,1,1098,410
8,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,ARICA,6,0,1,691,10
9,ESCUELA REPUBLICA DE ISRAEL,ARICA,6,0,1,1426,10
10,ESCUELA REPUBLICA DE FRANCIA,ARICA,6,0,1,158,10
11,ESC. GRAL. PEDRO LAGOS MARCHANT,ARICA,6,0,1,349,10
12,ESCUELA GRAL JOSE MIGUEL CARRERA,ARICA,6,0,1,326,10
13,ESCUELA MANUEL RODRIGUEZ ERDOYZA,ARICA,6,0,1,262,10
14,ESCUELA ROMULO J. PENA MATURANA,ARICA,6,0,1,362,10
15,LICEO BICENTENARIO ARTISTICO DR. JUAN NOE CREVANI,ARICA,6,0,1,398,110
16,ESCUELA REGIMIENTO RANCAGUA,ARICA,6,0,1,296,10
17,ESCUELA SUBTTE. LUIS CRUZ MARTINEZ,ARICA,6,0,1,426,10
18,ESC. COMTE. JUAN JOSE SAN MARTIN,ARICA,6,0,1,325,10
19,ESC. HUMBERTO VALENZUELA GARCIA,ARICA,6,0,1,299,10
20,ESCUELA TUCAPEL,ARICA,6,0,1,447,10
21,ESCUELA CARLOS GUIRAO MASSIF,ARICA,6,0,3,0,0
22,ESCUELA GABRIELA MISTRAL,ARICA,6,0,1,839,10
25,COLEGIO CENTENARIO DE ARICA,ARICA,6,0,1,827,10
26,ESCUELA REPUBLICA DE ARGENTINA,ARICA,6,0,1,261,10
27,ESCUELA ESMERALDA,ARICA,6,0,1,304,10
28,ESCUELA RICARDO SILVA ARRIAGADA,ARICA,6,0,1,757,10
29,ESCUELA AMERICA,ARICA,6,0,1,601,10
30,ESCUELA DR. RICARDO OLEA GUERRA,ARICA,6,0,1,158,212
31,ESCUELA DARIO SALAS DIAZ,ARICA,6,1,1,393,10
32,LICEO AGRICOLA JOSE ABELARDO NUNEZ M.,ARICA,6,1,1,819,10
33,ESCUELA CARLOS CONDELL DE LA HAZA,ARICA,6,1,1,198,10
35,ESCUELA GRAL. MANUEL BAQUEDANO,ARICA,6,1,1,136,10
36,ESCUELA IGNACIO CARRERA PINTO,ARICA,6,0,1,331,10
38,ESCUELA ESPAÑA,ARICA,6,1,1,498,10
39,ESCUELA PAMPA ALGODONAL,ARICA,6,1,1,79,10
41,ESCUELA VALLE DE CHACA,ARICA,6,1,1,77,110
42,ESCUELA MOLINOS LLUTA,ARICA,6,1,1,25,110
43,JARDIN INFANTIL CEPILLIN,ARICA,3,0,1,26,10
44,JARDIN INFANTIL PEQUENILANDIA,ARICA,3,0,3,0,0
45,COLEGIO ITALIANO SANTA ANA,ARICA,3,0,1,862,10
46,JARDIN INFANTIL SAN ANDRES,ARICA,3,0,3,0,0
47,J.  I. KURUMI,ARICA,4,0,1,0,0
49,JARDIN INFANTIL PADRE LUIS GALLARDO,ARICA,3,0,1,23,10
50,COLEGIO ADVENTISTA DE ARICA,ARICA,3,0,1,536,110
51,ESCUELA PARTICULAR REPÚBLICA DEL ECUADOR,ARICA,3,0,3,0,0
52,LICEO BICENTENARIO DOMINGO SANTA MARIA,ARICA,3,0,1,3962,10
55,JARDIN INFANTIL MONTESSORI GARDEN,ARICA,3,0,3,0,0
56,COLEGIO SAN MARCOS DE ARICA,ARICA,3,0,1,997,10
57,JARDIN INFANTIL ZORZALITO,ARICA,3,0,3,0,0
58,JARDIN INFANTIL PETETE J.M. BORGOÐO,ARICA,3,0,2,0,0
59,COLEGIO SAN JORGE,ARICA,4,0,1,525,10
60,COLEGIO ALEMAN DE ARICA,ARICA,3,0,1,1000,10
65,J.  I.  SOLDADITO DE PLOMO,ARICA,4,0,2,0,0
66,JARDIN INFANTIL PLUTO,ARICA,3,0,1,1,10
67,ABRAHAM LINCOLN SCHOOL,ARICA,3,0,1,762,10
69,JUNIOR COLLEGE,ARICA,4,0,1,739,10
70,ESCUELA VALLE DE ESQUINA,CAMARONES,6,1,1,10,110
72,LICEO VALLE DE CODPA,CAMARONES,6,1,1,76,110
73,ESCUELA VALLE DE COBIJA,CAMARONES,6,1,1,0,0
74,ESCUELA VALLE DE CAMARONES,CAMARONES,6,1,1,12,110
75,ESCUELA VALLE DE GUANACAGUA,CAMARONES,6,1,1,2,110
76,ESCUELA VALLE DE CUYA,CAMARONES,6,1,1,6,110
78,LICEO GRANADEROS,PUTRE,6,1,1,239,10
79,ESCUELA EL MARQUEZ,PUTRE,6,1,1,6,110
81,ESCUELA PAYACHATAS,PUTRE,6,1,1,2,110
82,ESCUELA SAN FRANCISCO DE ASIS,PUTRE,6,1,1,3,110
83,ESCUELA COTA COTANI,PUTRE,6,1,1,0,0
84,ESCUELA LOS ALAMOS,PUTRE,6,1,1,3,110
86,ESCUELA SAN SANTIAGO DE BELEN,PUTRE,6,1,1,4,110
87,ESCUELA ANCOLACANE,GENERAL LAGOS,6,1,1,4,110
88,ESCUELA ALCERRECA,GENERAL LAGOS,6,1,1,0,0
89,ESCUELA HUMAPALCA,GENERAL LAGOS,6,1,1,4,110
90,ESCUELA INTERNADO VISVIRI,GENERAL LAGOS,6,1,1,48,110
91,ESCUELA COSAPILLA,GENERAL LAGOS,6,1,1,4,110
92,ESCUELA CHISLLUMA,GENERAL LAGOS,6,1,1,4,110
93,ESCUELA CHUJLLUTA,GENERAL LAGOS,6,1,1,5,110
94,ESCUELA GUACOYO,GENERAL LAGOS,6,1,1,7,110
95,ESCUELA COLPITAS,GENERAL LAGOS,6,1,1,1,110
97,INST. COM. DE IQUIQUE BALDOMERO WOLNITZKY,IQUIQUE,6,0,1,608,410
98,CENTRO DE DIAGNOSTICO,IQUIQUE,3,0,3,0,0
100,ESCUELA,IQUIQUE,6,0,3,0,0
101,HOGAR ESTUDIANTIL,IQUIQUE,6,0,3,0,0
102,ESC.EDUC.ESPECIAL FLOR DEL INCA,IQUIQUE,6,0,1,181,212
103,ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PARRA,IQUIQUE,6,0,1,490,110
105,CENTRO DE CAPACITACION LABORAL,IQUIQUE,6,0,1,68,212
106,INSTITUTO DEL MAR ALMIRANTE CARLOS CONDEL,IQUIQUE,5,0,1,557,110
107,LICEO LIBERT. GRAL.BERNARDO O´HIGGINS,IQUIQUE,6,0,1,639,110
108,LICEO POLITEC. JOSE GUTIERREZ DE LA FUEN,IQUIQUE,6,0,1,722,510
109,COLEGIO DEPORTIVO TEC. PROF. ELENA DUVAUCHELLE CABEZON,IQUIQUE,6,0,1,923,110
110,LICEO BICENTENARIO DOMINGO SANTA MARIA DE IQQ.,IQUIQUE,6,0,1,936,10
111,ESCUELA GABRIELA MISTRAL,IQUIQUE,6,0,1,662,10
112,ESCUELA EDUARDO LLANOS,IQUIQUE,6,0,1,668,10
113,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,6,0,1,927,10
114,ESCUELA PLACIDO VILLARROEL,IQUIQUE,6,0,1,503,10
115,ESCUELA JAVIERA CARRERA VERDUGO,IQUIQUE,6,0,2,0,0
116,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,6,0,1,689,10
117,ESCUELA PAULA JARAQUEMADA ALQUIZAR,IQUIQUE,6,0,1,674,10
119,ESCUELA CENTENARIO,IQUIQUE,6,0,1,658,10
120,LICEO COM.Y TEC.ARTURO PRAT CHACON,IQUIQUE,6,0,2,0,0
122,ESCUELA THILDA PORTILLO OLIVARES,IQUIQUE,6,0,1,308,10
123,COLEGIO ESPANA,IQUIQUE,6,0,1,554,10
124,LICEO LUIS CRUZ MARTINEZ,IQUIQUE,6,0,1,1170,310
125,ESCUELA PROFESOR MANUEL CASTRO RAMOS,IQUIQUE,6,0,1,1090,10
126,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,6,0,1,661,10
127,LICEO MARIA AUXILIADORA,IQUIQUE,3,0,1,879,110
128,JARDIN INFANTIL LITTLE GARDEN,IQUIQUE,3,0,3,0,0
129,LICEO SUPERIOR GABRIELA MISTRAL,IQUIQUE,3,0,1,320,10
130,COLEGIO NORTH COLLEGE,IQUIQUE,3,0,1,352,110
131,COLEGIO ESCASCE,IQUIQUE,3,0,1,397,110
132,COLEGIO BAJO MOLLE,IQUIQUE,3,0,1,1863,10
133,COLEGIO ADVENTISTA DE IQUIQUE,IQUIQUE,3,0,1,742,10
134,LICEO ATENEA,IQUIQUE,3,0,1,339,110
136,J.  I.  CAPULLITO,IQUIQUE,4,0,1,0,0
138,COLEGIO HERMANOS CARRERA,IQUIQUE,4,0,3,0,0
139,JARDIN INFANTIL CONEJITO,IQUIQUE,4,0,1,0,0
143,LICEO TRINITY COLLEGE,IQUIQUE,4,0,3,0,0
144,COLEGIO IQUIQUE YOUNG SCHOOL,IQUIQUE,3,0,1,357,110
145,HISPANO BRITANICO,IQUIQUE,4,0,3,0,0
147,COLEGIO DON BOSCO,IQUIQUE,4,0,3,0,0
148,IQUIQUE ENGLISH COLLEGE,IQUIQUE,4,0,3,0,0
150,LICEO AMERICAN COLLEGE,IQUIQUE,4,0,3,0,0
151,CINDERELLA S SCHOOL,IQUIQUE,4,0,3,0,0
154,ESCUELA BASICA FRONTERIZA,HUARA,2,1,1,39,110
156,ESCUELA PISAGUA,HUARA,2,1,1,41,10
158,ESCUELA CHIAPA,HUARA,2,1,1,3,110
159,ESCUELA JAINA,HUARA,2,1,1,4,110
160,ESCUELA PACHICA,HUARA,2,1,1,47,10
161,LICEO DE HUARA,HUARA,2,1,1,506,10
162,ESCUELA SIBAYA,HUARA,2,1,1,53,110
165,ESCUELA CHUSMIZA,HUARA,2,1,1,2,110
167,ESCUELA CAMINA,CAMIÑA,2,1,1,153,10
168,ESCUELA CUISAMA,CAMIÑA,2,1,1,4,110
169,ESCUELA QUISTAGAMA,CAMIÑA,2,1,1,5,110
170,ESCUELA NAMA,CAMIÑA,2,1,1,8,110
171,ESCUELA APAMILCA,CAMIÑA,2,1,1,7,110
172,ESCUELA CHAPIQUILTA,CAMIÑA,2,1,1,7,110
173,ESCUELA MOQUELLA,CAMIÑA,2,1,1,12,110
174,ESCUELA FRANCIA,CAMIÑA,2,1,1,22,110
175,ESCUELA YALA YALA,CAMIÑA,2,1,1,4,110
177,ESCUELA BASICA CARIQUIMA,COLCHANE,2,1,1,16,110
178,LICEO TECNICO PROFESIONAL COLCHANE,COLCHANE,2,1,1,200,10
179,ESCUELA BASICA MAUQUE,COLCHANE,2,1,1,0,0
184,ESCUELA BASICA ESCAPINA,COLCHANE,2,1,3,0,0
185,ESCUELA BASICA PISIGA-CHOQUE,COLCHANE,2,1,1,8,110
186,ESCUELA BASICA ENQUELGA,COLCHANE,2,1,1,6,110
187,ESCUELA VERTIENTE DEL SABER,PICA,2,1,1,299,10
188,ESC. MATILLA DE NUEVA EXTREMADURA,PICA,2,1,1,235,10
191,LIC. ALCDE.SERGIO GONZALEZ GUTIERREZ,POZO ALMONTE,1,1,1,951,310
192,ESCUELA BASICA MAMINA,POZO ALMONTE,1,1,1,28,10
193,ESCUELA BASICA POZO ALMONTE,POZO ALMONTE,1,1,1,697,10
195,ESCUELA BASICA LA TIRANA,POZO ALMONTE,1,1,1,300,10
196,ESCUELA BASICA HUATACONDO,POZO ALMONTE,1,1,1,13,110
198,ESCUELA BASICA LA HUAYCA,POZO ALMONTE,1,1,1,113,10
199,LICEO DOMINGO LATRILLE LASTAUNOU,TOCOPILLA,2,0,1,710,110
200,LICEO POLITÉCNICO BICENTENARIO DE EXCELENCIA DIEGO PORTALES PALAZUELOS,TOCOPILLA,2,0,1,714,310
201,ESCUELA CARLOS CONDELL DE LA HAZA,TOCOPILLA,2,0,1,536,10
203,ESCUELA PABLO NERUDA,TOCOPILLA,2,0,1,478,10
204,ESCUELA L.GRAL.BERNARDO O´HIGGINS R.,TOCOPILLA,2,0,1,668,10
205,ESCUELA ARTURO PRAT CHACON,TOCOPILLA,2,0,1,420,10
206,ESCUELA ESTADOS UNIDOS DE NORTEAMERICA,TOCOPILLA,2,0,1,351,10
207,ESC. ESPECIAL PEDRO AGUIRRE CERDA,TOCOPILLA,2,0,1,84,212
208,COLEGIO BICENTENARIO SAGRADA FAMILIA,TOCOPILLA,3,0,1,1187,10
209,ESC. PARV. EL CAMELLITO,TOCOPILLA,4,0,3,0,0
210,ESCUELA ARTURO PEREZ CANTO,MARÍA ELENA,2,0,1,663,10
211,LICEO H.C. T.P. MARIA ELENA,MARÍA ELENA,2,0,1,295,310
214,ESCUELA IGNACIO CARRERA PINTO,MARÍA ELENA,2,1,1,28,110
217,LICEO BICENTENARIO LUIS CRUZ MARTINEZ,CALAMA,1,0,1,1036,310
218,LICEO FRANCISCO DE AGUIRRE,CALAMA,1,0,1,504,310
219,LICEO BICENTENARIO POLITECNICO CESAREO AGUIRRE GOYENECHEA,CALAMA,1,0,1,1047,510
220,LICEO MINERO AMÉRICA,CALAMA,1,0,1,1011,510
222,CENTRO EDUC.INTEGRAL DE ADULTOS C.E.I.A,CALAMA,1,0,1,514,165
223,ESCUELA CLAUDIO ARRAU,CALAMA,1,0,1,678,110
224,ESCUELA GRECIA,CALAMA,1,0,1,966,110
225,ESCUELA REPUBLICA DE BOLIVIA,CALAMA,1,0,1,980,110
226,ESCUELA BASICA EMILIO SOTOMAYOR,CALAMA,1,0,1,982,110
227,ESCUELA BASICA PRESIDENTE BALMACEDA,CALAMA,1,0,1,1555,110
228,ESCUELA BASICA VADO DE TOPATER,CALAMA,1,0,1,617,110
229,ESCUELA REPUBLICA DE CHILE,CALAMA,1,0,1,897,110
230,ESCUELA BASICA ANDRES BELLO,CALAMA,1,0,1,637,110
231,ESCUELA BASICA JOHN FITZGERALD KENNEDY,CALAMA,1,0,1,715,110
232,ESCUELA BASICA PEDRO VERGARA KELLER,CALAMA,1,0,1,643,110
234,ESCUELA REPUBLICA DE ECUADOR,CALAMA,1,0,3,0,0
235,ESCUELA JARDIN INFANTIL EL PRINCIPITO,CALAMA,1,0,3,0,0
236,ESCUELA DE PARVULOS LAS ABEJITAS,CALAMA,1,0,1,219,10
237,ESCUELA DE PARVULOS LLAMITO BLANCO,CALAMA,1,0,1,250,10
238,ESCUELA DIFERENCIAL LOA,CALAMA,1,0,1,190,212
239,ESCUELA BASICA 21 DE MAYO,CALAMA,1,0,1,669,110
240,ESCUELA BASICA REPUBLICA DE FRANCIA,CALAMA,1,0,1,631,110
241,ESCUELA PARVULARIA LAS ARDILLAS,CALAMA,1,0,1,199,10
243,ESCUELA BASICA PUKARA,CALAMA,1,1,1,27,110
244,ESCUELA DE PARVULOS LOS ENANITOS,CALAMA,1,0,1,269,10
245,ESCUELA DE PARVULOS PAPELUCHO,CALAMA,1,0,1,120,10
246,ESCUELA BASICA SENORA DE LA CANDELARIA,CALAMA,1,1,1,21,10
248,ESCUELA BASICA SAN JOSE,CALAMA,1,1,1,9,110
249,ESCUELA BASICA SAN ANDRES,CALAMA,1,1,2,0,0
251,ESCUELA BASICA SAN SANTIAGO,CALAMA,1,1,3,0,0
252,ESCUELA BASICA SAN FRANCISCO,CALAMA,1,1,1,107,110
253,COLEGIO ADVENTISTA DE CALAMA,CALAMA,3,0,1,1067,10
254,FUNDACION EDUCACIONAL COLEGIO NUESTRA SEÑORA DE AYQUINA,CALAMA,3,0,1,910,110
255,COLEGIO EJERCITO DE SALVACION,CALAMA,3,0,1,1189,10
256,INSTITUTO OBISPO SILVA LEZAETA,CALAMA,3,0,1,1800,110
257,COLEGIO CHUQUICAMATA,CALAMA,4,0,1,1068,110
259,ESC. PARV. JESUS DE NAZARETH,CALAMA,4,0,1,33,10
261,ESCUELA DE PARRVULOS CAPITAN RAFAEL TORREBLANCA,CALAMA,4,0,3,0,0
262,ESCUELA DE PARVULOS MICKEY MOUSE,CALAMA,3,0,1,196,10
265,ESCUELA DE PARVULOS LOS CONEJITOS,CALAMA,1,0,1,133,10
