fila_excel,RBD,COD_DEPE,DIMENSION,ESTIM_TOTAL,ESTIM_SEP,NIV_IMPLEM,duplicado_exacto_adicional,total_mayor_1000_millones
2,1,6,Convivencia Escolar,8000000,8000000.0,Implementación completa: 100%,False,False
3,1,6,Convivencia Escolar,3000000,3000000.0,Implementación completa: 100%,False,False
4,1,6,Convivencia Escolar,0,0.0,Implementación completa: 100%,False,False
5,1,6,Gestión de Recursos,80057127,80057127.0,Implementación completa: 100%,False,False
6,1,6,Gestión de Recursos,5999994,5999994.0,Implementación completa: 100%,False,False
7,1,6,Gestión de Recursos,45000000,45000000.0,Implementación completa: 100%,False,False
8,1,6,Gestión de Recursos,25000000,25000000.0,Implementación completa: 100%,False,False
9,1,6,Gestión Pedagógica,10000000,10000000.0,Implementación completa: 100%,False,False
10,1,6,Gestión Pedagógica,1250000,1250000.0,Implementación completa: 100%,False,False
11,1,6,Gestión Pedagógica,0,0.0,Implementación completa: 100%,False,False
12,1,6,Gestión Pedagógica,0,0.0,Implementación completa: 100%,False,False
13,1,6,Gestión Pedagógica,0,0.0,Implementación completa: 100%,False,False
14,1,6,Gestión Pedagógica,0,0.0,Implementación completa: 100%,False,False
15,1,6,Liderazgo,0,0.0,Implementación completa: 100%,False,False
16,1,6,Liderazgo,21074771,21074771.0,Implementación completa: 100%,False,False
17,2,6,Convivencia Escolar,0,0.0,Implementación completa: 100%,False,False
18,2,6,Convivencia Escolar,11500000,11500000.0,Implementación no efectuada: 0%,False,False
19,2,6,Convivencia Escolar,0,0.0,Implementación avanzada: 75% a 99%,False,False
20,2,6,Convivencia Escolar,0,0.0,Implementación avanzada: 75% a 99%,False,False
21,2,6,Gestión de Recursos,5200000,5200000.0,Implementación completa: 100%,False,False
22,2,6,Gestión de Recursos,38602824,38602824.0,Implementación avanzada: 75% a 99%,False,False
23,2,6,Gestión Pedagógica,1500000,1500000.0,Implementación completa: 100%,False,False
24,2,6,Gestión Pedagógica,11000000,11000000.0,Implementación avanzada: 75% a 99%,False,False
25,2,6,Liderazgo,0,0.0,Implementación avanzada: 75% a 99%,False,False
26,2,6,Liderazgo,6220369,6220369.0,Implementación avanzada: 75% a 99%,False,False
27,3,6,Convivencia Escolar,200000,0.0,Implementación completa: 100%,False,False
28,3,6,Convivencia Escolar,200000,0.0,Implementación completa: 100%,False,False
29,3,6,Gestión de Recursos,200000,0.0,Implementación completa: 100%,False,False
30,3,6,Gestión de Recursos,200000,0.0,Implementación completa: 100%,False,False
31,3,6,Gestión Pedagógica,200000,0.0,Implementación completa: 100%,False,False
32,3,6,Gestión Pedagógica,200000,0.0,Implementación completa: 100%,False,False
33,3,6,Liderazgo,200000,0.0,Implementación completa: 100%,False,False
34,3,6,Liderazgo,200000,0.0,Implementación completa: 100%,False,False
35,4,6,Convivencia Escolar,24500000,24500000.0,Implementación completa: 100%,False,False
36,4,6,Convivencia Escolar,6000000,6000000.0,Implementación completa: 100%,False,False
37,4,6,Convivencia Escolar,14000000,14000000.0,Implementación completa: 100%,False,False
38,4,6,Convivencia Escolar,500000,500000.0,Implementación completa: 100%,False,False
39,4,6,Convivencia Escolar,7000000,7000000.0,Implementación completa: 100%,False,False
40,4,6,Convivencia Escolar,600000,600000.0,Implementación completa: 100%,False,False
41,4,6,Convivencia Escolar,0,0.0,Implementación completa: 100%,False,False
42,4,6,Convivencia Escolar,2000000,2000000.0,Implementación no efectuada: 0%,False,False
43,4,6,Convivencia Escolar,500000,500000.0,Implementación completa: 100%,False,False
44,4,6,Convivencia Escolar,600000,600000.0,Implementación completa: 100%,False,False
45,4,6,Convivencia Escolar,600000,600000.0,Implementación completa: 100%,False,False
46,4,6,Convivencia Escolar,800000,800000.0,Implementación completa: 100%,False,False
47,4,6,Convivencia Escolar,1000000,1000000.0,Implementación completa: 100%,False,False
48,4,6,Convivencia Escolar,1000000,1000000.0,Implementación no efectuada: 0%,False,False
49,4,6,Gestión de Recursos,230443419,230443419.0,Implementación completa: 100%,False,False
50,4,6,Gestión de Recursos,95000000,95000000.0,Implementación completa: 100%,False,False
51,4,6,Gestión de Recursos,180218,180218.0,Implementación completa: 100%,False,False
52,4,6,Gestión de Recursos,15500020,15500020.0,Implementación completa: 100%,False,False
53,4,6,Gestión de Recursos,20000000,20000000.0,Implementación completa: 100%,False,False
54,4,6,Gestión de Recursos,1300000,1300000.0,Implementación completa: 100%,False,False
55,4,6,Gestión Pedagógica,500000,500000.0,Implementación completa: 100%,False,False
56,4,6,Gestión Pedagógica,0,0.0,Implementación completa: 100%,False,False
57,4,6,Gestión Pedagógica,0,0.0,Implementación completa: 100%,False,False
58,4,6,Gestión Pedagógica,0,0.0,Implementación completa: 100%,False,False
59,4,6,Gestión Pedagógica,300000,300000.0,Implementación completa: 100%,False,False
60,4,6,Gestión Pedagógica,0,0.0,Implementación completa: 100%,False,False
61,4,6,Gestión Pedagógica,0,0.0,Implementación completa: 100%,False,False
62,4,6,Gestión Pedagógica,0,0.0,Implementación completa: 100%,False,False
63,4,6,Gestión Pedagógica,550000,550000.0,Implementación completa: 100%,False,False
64,4,6,Gestión Pedagógica,200000,200000.0,Implementación completa: 100%,False,False
65,4,6,Liderazgo,1000000,1000000.0,Implementación completa: 100%,False,False
66,4,6,Liderazgo,4000000,4000000.0,Implementación completa: 100%,False,False
67,4,6,Liderazgo,0,0.0,Implementación completa: 100%,False,False
68,4,6,Liderazgo,5000000,5000000.0,Implementación completa: 100%,False,False
69,4,6,Liderazgo,4000000,4000000.0,Implementación completa: 100%,False,False
70,4,6,Liderazgo,46461303,46461303.0,Implementación completa: 100%,False,False
71,4,6,Liderazgo,641489,641489.0,Implementación completa: 100%,False,False
72,4,6,Liderazgo,1200000,1200000.0,Implementación completa: 100%,False,False
73,4,6,Liderazgo,2000000,2000000.0,Implementación completa: 100%,False,False
74,5,6,Convivencia Escolar,8000000,8000000.0,Implementación completa: 100%,False,False
75,5,6,Convivencia Escolar,5000000,5000000.0,Implementación completa: 100%,False,False
76,5,6,Convivencia Escolar,11000000,11000000.0,Implementación completa: 100%,False,False
77,5,6,Convivencia Escolar,5000000,5000000.0,Implementación completa: 100%,False,False
78,5,6,Convivencia Escolar,500000,500000.0,Implementación completa: 100%,False,False
79,5,6,Gestión de Recursos,50000000,50000000.0,Implementación completa: 100%,False,False
80,5,6,Gestión de Recursos,30000000,30000000.0,Implementación completa: 100%,False,False
81,5,6,Gestión Pedagógica,48600000,48600000.0,Implementación completa: 100%,False,False
82,5,6,Gestión Pedagógica,2040000,2040000.0,Implementación avanzada: 75% a 99%,False,False
83,5,6,Gestión Pedagógica,15000000,15000000.0,Implementación completa: 100%,False,False
84,5,6,Gestión Pedagógica,15000000,15000000.0,Implementación completa: 100%,False,False
85,5,6,Liderazgo,500000,500000.0,Implementación completa: 100%,False,False
86,5,6,Liderazgo,2400000,2400000.0,Implementación no efectuada: 0%,False,False
87,5,6,Liderazgo,100000,100000.0,Implementación completa: 100%,False,False
88,5,6,Liderazgo,13000000,13000000.0,Implementación completa: 100%,False,False
89,5,6,Liderazgo,500000,500000.0,Implementación completa: 100%,False,False
90,7,6,Convivencia Escolar,10000000,10000000.0,Implementación adecuada: 50% a 74%,False,False
91,7,6,Convivencia Escolar,10000000,10000000.0,Implementación avanzada: 75% a 99%,False,False
92,7,6,Convivencia Escolar,10000000,10000000.0,Implementación avanzada: 75% a 99%,False,False
93,7,6,Convivencia Escolar,15000000,15000000.0,Implementación avanzada: 75% a 99%,False,False
94,7,6,Gestión de Recursos,19000000,19000000.0,Implementación avanzada: 75% a 99%,False,False
95,7,6,Gestión de Recursos,100000000,100000000.0,Implementación avanzada: 75% a 99%,False,False
96,7,6,Gestión de Recursos,197000000,197000000.0,Implementación avanzada: 75% a 99%,False,False
97,7,6,Gestión de Recursos,20000000,20000000.0,Implementación completa: 100%,False,False
98,7,6,Gestión de Recursos,0,0.0,Implementación parcial: 25% a 49%,False,False
99,7,6,Gestión Pedagógica,20000000,20000000.0,Implementación avanzada: 75% a 99%,False,False
100,7,6,Gestión Pedagógica,5000000,5000000.0,Implementación avanzada: 75% a 99%,False,False
101,7,6,Gestión Pedagógica,0,0.0,Implementación avanzada: 75% a 99%,False,False
102,7,6,Gestión Pedagógica,50000000,30000000.0,Implementación avanzada: 75% a 99%,False,False
103,7,6,Gestión Pedagógica,30000000,10000000.0,Implementación avanzada: 75% a 99%,False,False
104,7,6,Gestión Pedagógica,5000000,5000000.0,Implementación avanzada: 75% a 99%,False,False
105,7,6,Liderazgo,2500000,1000000.0,Implementación avanzada: 75% a 99%,False,False
106,7,6,Liderazgo,6000000,6000000.0,Implementación avanzada: 75% a 99%,False,False
107,7,6,Liderazgo,52409047,52409047.0,Implementación completa: 100%,False,False
108,7,6,Liderazgo,47000000,0.0,Implementación avanzada: 75% a 99%,False,False
109,8,6,Convivencia Escolar,2000000,2000000.0,Implementación parcial: 25% a 49%,False,False
110,8,6,Convivencia Escolar,7000000,7000000.0,Implementación avanzada: 75% a 99%,False,False
111,8,6,Convivencia Escolar,6500000,6500000.0,Implementación completa: 100%,False,False
112,8,6,Gestión de Recursos,12000000,12000000.0,Implementación completa: 100%,False,False
113,8,6,Gestión de Recursos,1000000,1000000.0,Implementación completa: 100%,False,False
114,8,6,Gestión de Recursos,3800000,3800000.0,Implementación completa: 100%,False,False
115,8,6,Gestión de Recursos,125000000,125000000.0,Implementación completa: 100%,False,False
116,8,6,Gestión de Recursos,8000000,8000000.0,Implementación completa: 100%,False,False
117,8,6,Gestión de Recursos,25000000,25000000.0,Implementación completa: 100%,False,False
118,8,6,Gestión de Recursos,5000000,5000000.0,Implementación avanzada: 75% a 99%,False,False
119,8,6,Gestión de Recursos,30000000,30000000.0,Implementación completa: 100%,False,False
120,8,6,Gestión de Recursos,20000000,20000000.0,Implementación completa: 100%,False,False
121,8,6,Gestión de Recursos,15000000,15000000.0,Implementación completa: 100%,False,False
122,8,6,Gestión Pedagógica,0,0.0,Implementación completa: 100%,False,False
123,8,6,Gestión Pedagógica,3000000,3000000.0,Implementación completa: 100%,False,False
124,8,6,Gestión Pedagógica,1500000,1500000.0,Implementación completa: 100%,False,False
125,8,6,Gestión Pedagógica,5000000,5000000.0,Implementación completa: 100%,False,False
126,8,6,Gestión Pedagógica,2000000,2000000.0,Implementación completa: 100%,False,False
127,8,6,Gestión Pedagógica,5000000,5000000.0,Implementación completa: 100%,False,False
128,8,6,Gestión Pedagógica,3000000,3000000.0,Implementación completa: 100%,False,False
129,8,6,Gestión Pedagógica,2000000,2000000.0,Implementación completa: 100%,False,False
130,8,6,Gestión Pedagógica,0,0.0,Implementación avanzada: 75% a 99%,False,False
131,8,6,Gestión Pedagógica,0,0.0,Implementación completa: 100%,False,False
132,8,6,Gestión Pedagógica,2500000,2500000.0,Implementación completa: 100%,False,False
133,8,6,Gestión Pedagógica,0,0.0,Implementación inicial: 1% a 24%,False,False
134,8,6,Gestión Pedagógica,0,0.0,Implementación parcial: 25% a 49%,False,False
135,8,6,Gestión Pedagógica,2000000,2000000.0,Implementación completa: 100%,False,False
136,8,6,Gestión Pedagógica,0,0.0,Implementación completa: 100%,False,False
137,8,6,Gestión Pedagógica,0,0.0,Implementación completa: 100%,False,False
138,8,6,Gestión Pedagógica,0,0.0,Implementación completa: 100%,False,False
