fila_excel,RBD,NOM_RBD,NOM_COM_RBD,COD_DEPE,DIMENSION,NOM_ACTIVIDAD,DESC_ACTIVIDAD,NIV_IMPLEM,ESTIM_SUBV_GRAL,ESTIM_SEP,ESTIM_PIE,ESTIM_MANTEN,ESTIM_PRO_RET,ESTIM_INTERNADO,ESTIM_REFORZ,ESTIM_FAEP,ESTIM_APORT_MUN,ESTIM_TOTAL,duplicado_exacto_adicional,diferencia_total_componentes,total_mayor_1000_millones
47198,6007,LICEO LOS ANDES,MELIPEUCO,2,Convivencia Escolar,Promoviendo espacios de reflexión,"Se desarrollaran jornadas de sensibilización preventivas y/o autocuidados a la comunidad educativa, tomando en cuenta la necesidad que tengan los diferentes integrantes del establecimiento en torno a salud mental, convivencia escolar, inclusión y bienestar.",Implementación completa: 100%,0,7000000.0,0,0,0,0,0,0,0,7000000,False,0.0,False
47199,6007,LICEO LOS ANDES,MELIPEUCO,2,Convivencia Escolar,Trabajando colaborativamente,"Establecer reuniones colaborativas con instituciones locales y regionales, organizados por medio de una mesa de trabajo que realice sensibilizaciones, detección de necesidades, análisis y toma de decisiones respecto a acciones para el establecimiento.",Implementación adecuada: 50% a 74%,0,1000000.0,0,0,0,0,0,0,0,1000000,False,0.0,False
47200,6007,LICEO LOS ANDES,MELIPEUCO,2,Gestión de Recursos,¿Cómo estamos?,"Se crearan a lo menos 3 instancias de evaluación de clima laboral  durante el año [inicial, intermedio y cierre] con el fin de diagnosticar, generar acciones y monitorear avances que favorezcan el buen funcionamiento en el quehacer administrativo y educativo.",Implementación adecuada: 50% a 74%,3000000,0.0,0,0,0,0,0,0,0,3000000,False,0.0,False
47201,6007,LICEO LOS ANDES,MELIPEUCO,2,Gestión de Recursos,Gestión material educativo,"El equipo directivo gestiona la provisión, renovación y monitoreo del uso de material educativo, insumos, equipamiento, mobiliario, recursos financieros para las distintas instancias educativas del establecimiento, tanto en el desarrollo de aprendizaje formal como en aquellas experiencias formativas de apoyo o extracurriculares entre otras.",Implementación completa: 100%,7000000,0.0,0,0,0,0,0,0,0,7000000,False,0.0,False
47202,6007,LICEO LOS ANDES,MELIPEUCO,2,Gestión Pedagógica,Mejorando resultados,"Se implementaran estrategias pedagógicas de nivelación y mejora, para fortalecer las habilidades descendidas en las diferentes asignaturas, con un montero de fases [inicial, intermedia, cierre]",Implementación completa: 100%,0,0.0,0,0,0,0,0,0,0,0,False,0.0,False
47203,6007,LICEO LOS ANDES,MELIPEUCO,2,Gestión Pedagógica,Enfrentemos el problema,"Se generaran escenarios educativos que promuevan en las y los estudiantes un aprendizaje significativo a través estrategias metodológicas activas, que estimulen el pensamiento crítico, la resolución de problemas, colaboración y la conciencia de su propio aprendizaje.",Implementación completa: 100%,0,0.0,0,0,0,0,0,0,0,0,False,0.0,False
47204,6007,LICEO LOS ANDES,MELIPEUCO,2,Liderazgo,Vinculación,"Se generaran instancias dentro o fuera de la comuna, que promuevan el crecimiento socio-cultural y personal de las y los estudiantes, por medio de  la ayuda social, la participación y colaboración de padres y apoderados, jornadas sociales y culturales que fomenten el involucramiento del establecimiento con la comuna.",Implementación completa: 100%,7000000,0.0,0,0,0,0,0,0,0,7000000,False,0.0,False
47205,6007,LICEO LOS ANDES,MELIPEUCO,2,Liderazgo,Apoyando la ejecución de planes,"Se creara un sistema de trabajo participativo y organizado por medio de un coordinador de planes (que se reunirá con los distintos encargados) generando instancias de consulta a diferentes integrantes de la comunidad, monitoreando el cumplimiento de acciones de cada plan de gestión.",Implementación adecuada: 50% a 74%,0,7000000.0,0,0,0,0,0,0,0,7000000,False,0.0,False
47206,6009,ESC. BASICA MOLULCO,MELIPEUCO,2,Convivencia Escolar,mi comunidad,"Organizar eventos comunitarios en colaboración con organizaciones locales, como ferias de salud, limpiezas de vecindario o actividades culturales, para fomentar la integración de la escuela con la comunidad circundante.",Implementación adecuada: 50% a 74%,0,150000.0,0,0,0,0,0,0,0,150000,False,0.0,False
47207,6009,ESC. BASICA MOLULCO,MELIPEUCO,2,Convivencia Escolar,descubriendo nuevos lugares,Organizar salidas pedagógicas para enriquecer el aprendizaje práctico y vivenciar experiencias fuera del aula.,Implementación avanzada: 75% a 99%,0,300000.0,0,0,0,0,0,0,0,300000,False,0.0,False
47208,6009,ESC. BASICA MOLULCO,MELIPEUCO,2,Gestión de Recursos,EQUIPAMIENTO TECNOLOGICO,"Proceder con la compra de los equipos tecnológicos conforme al presupuesto establecido, asegurándose de cumplir con los procedimientos de adquisición y los requisitos legales correspondientes.",Implementación adecuada: 50% a 74%,0,850000.0,0,0,0,0,0,0,0,850000,False,0.0,False
47209,6009,ESC. BASICA MOLULCO,MELIPEUCO,2,Gestión de Recursos,RESPALDO FINANCIERO,Priorizar la asignación de recursos a aquellas áreas y programas que se alineen con los objetivos institucionales y que contribuyan de manera significativa al desarrollo integral de los estudiantes.,Implementación avanzada: 75% a 99%,0,350000.0,0,0,0,0,0,0,0,350000,False,0.0,False
47210,6009,ESC. BASICA MOLULCO,MELIPEUCO,2,Gestión Pedagógica,aprendizaje activo,"Crear y estructurar actividades de aprendizaje colaborativas que incorporen el enfoque del Aprendizaje Basado en Proyectos (ABP), con el propósito de estimular la colaboración, el intercambio de ideas y la capacidad de resolver problemas entre los estudiantes.",Implementación avanzada: 75% a 99%,0,100000.0,0,0,0,0,0,0,0,100000,False,0.0,False
47211,6009,ESC. BASICA MOLULCO,MELIPEUCO,2,Gestión Pedagógica,evaluación flexible,• Permitir a los estudiantes presentar evidencia de su aprendizaje de diversas maneras respondiendo a las necesidades especificas de cada uno.,Implementación avanzada: 75% a 99%,0,0.0,0,0,0,0,0,0,0,0,False,0.0,False
47212,6009,ESC. BASICA MOLULCO,MELIPEUCO,2,Liderazgo,Microcentro Rurales,"Establecer equipos de liderazgo que incluyan a directivos, líderes intermedios, representantes del departamento de educación municipal, con el objetivo de trabajar juntos en la toma de decisiones, planificación estratégica, la implementación de iniciativas educativas y reflexión sobre prácticas de exitosas.",Implementación avanzada: 75% a 99%,0,0.0,0,0,0,0,0,0,0,0,False,0.0,False
47213,6009,ESC. BASICA MOLULCO,MELIPEUCO,2,Liderazgo,Feedback Constructivo,"Proporcionar capacitación en técnicas de retroalimentación efectiva y evaluación formativa, así como en métodos para fomentar la reflexión crítica sobre la práctica educativa.",Implementación avanzada: 75% a 99%,0,100000.0,0,0,0,0,0,0,0,100000,False,0.0,False
47214,6011,ESC. BASICA MOLULCO,MELIPEUCO,2,Convivencia Escolar,Feymew kisuay  (Todos nos cuidamos),"Crear comités de convivencia escolar integrados por representantes del cuerpo docente, estudiantes, personal administrativo y padres de familia. Para fomentar una cultura escolar basada en valores de respeto, tolerancia, inclusión y equidad. Además, se encargarán de identificar y abordar casos de discriminación, acoso escolar o cualquier situación que afecte la integridad física o psicológica de l",Implementación adecuada: 50% a 74%,0,0.0,0,0,0,0,0,0,0,0,False,0.0,False
47215,6011,ESC. BASICA MOLULCO,MELIPEUCO,2,Convivencia Escolar,Sensibilización,"Diseñar e implementar programas de sensibilización, capacitaciones  dirigidos a toda la comunidad educativa (docentes, personal administrativo, estudiantes y padres de familia) sobre la importancia de los valores de respeto, tolerancia, inclusión y equidad. Estos programas incluirán talleres, charlas, seminarios y actividades interactivas abordando discriminación, el acoso escolar y integridad fís",Implementación adecuada: 50% a 74%,0,400000.0,0,0,0,0,0,0,0,400000,False,0.0,False
47216,6011,ESC. BASICA MOLULCO,MELIPEUCO,2,Convivencia Escolar,Descubriendo el mundo,Organizar salidas pedagógicas para enriquecer el aprendizaje práctico y vivenciar experiencias fuera del aula.,Implementación avanzada: 75% a 99%,0,1500000.0,0,0,0,0,0,0,0,1500000,False,0.0,False
