variable,faltantes,porcentaje
AGNO,0,0.0
RBD,0,0.0
DGV_RBD,0,0.0
NOM_RBD,0,0.0
COD_REG_RBD,0,0.0
NOM_REG_RBD_A,0,0.0
COD_PRO_RBD,0,0.0
COD_COM_RBD,0,0.0
NOM_COM_RBD,0,0.0
COD_DEPROV_RBD,0,0.0
NOM_DEPROV_RBD,0,0.0
COD_DEPE,0,0.0
COD_DEPE2,0,0.0
SLEP,108058,83.29710312504818
NOMBRE_SLEP,108058,83.29710312504818
RURAL_RBD,0,0.0
CONVENIO_SEP,0,0.0
CLASIFICACION_SEP,11204,8.636664970784578
PORC_BEN,0,0.0
DIMENSION,0,0.0
SUBDIMENSION,0,0.0
OBJETIVO,0,0.0
ESTRATEGIA,6,0.004625132972572962
NOM_ACTIVIDAD,2,0.001541710990857654
DESC_ACTIVIDAD,0,0.0
FECHA_INICIO,0,0.0
FECHA_TERMINO,0,0.0
PROG_ASOCIADO,0,0.0
RESPONSABLE,0,0.0
NIV_IMPLEM,0,0.0
JUST_NIV_IMPLEM,0,0.0
ATE,0,0.0
PLAN_CONVIV,0,0.0
PLAN_CIUDAD,0,0.0
PLAN_PISE,0,0.0
PLAN_PLFDPD,0,0.0
PLAN_PSAG,0,0.0
PLAN_INCLUS,0,0.0
PLAN_OTRO,0,0.0
ESTIM_SUBV_GRAL,0,0.0
ESTIM_SEP,38,0.029292508826295423
ESTIM_PIE,0,0.0
ESTIM_MANTEN,0,0.0
ESTIM_PRO_RET,0,0.0
ESTIM_INTERNADO,0,0.0
ESTIM_REFORZ,0,0.0
ESTIM_FAEP,0,0.0
ESTIM_APORT_MUN,0,0.0
ESTIM_TOTAL,0,0.0
fila_excel,0,0.0
duplicado_exacto_adicional,0,0.0
suma_componentes,38,0.029292508826295423
diferencia_total_componentes,38,0.029292508826295423
total_mayor_1000_millones,0,0.0
monto_negativo,0,0.0
completa,0,0.0
avance_min,0,0.0
avance_max,0,0.0
