fila_excel,RBD,NOM_RBD,NOM_COM_RBD,COD_DEPE,DIMENSION,NOM_ACTIVIDAD,DESC_ACTIVIDAD,NIV_IMPLEM,ESTIM_SUBV_GRAL,ESTIM_SEP,ESTIM_PIE,ESTIM_MANTEN,ESTIM_PRO_RET,ESTIM_INTERNADO,ESTIM_REFORZ,ESTIM_FAEP,ESTIM_APORT_MUN,ESTIM_TOTAL,duplicado_exacto_adicional,diferencia_total_componentes,total_mayor_1000_millones
2938,335,COLEGIO MISIONERO JOSE LANCASTER,ANTOFAGASTA,3,Gestión de Recursos,Apoyo a la gestión pedagógica y administrativa institucional,"Se contrata personal idóneo y responsable del desarrollo de los sellos institucionales del colegio que incluye la contratación del personal docente, especialistas PIE, convivencia escolar, equipo psicosocial (orientador psicóloga), bibliocra (coordinadora), encargada PME y apoyo a la labor administrativa.",Implementación completa: 100%,850000000,118000000.0,170000000,0,0,0,0,0,0,1138000000,False,0.0,True
15445,1735,LICEO PARROQUIAL SAN ANTONIO,VIÑA DEL MAR,3,Liderazgo,Gimnasio un espacio para compartir y aprender  (última etapa),etapa 2024   •  Hermosear la fallada del gimnasio   con mural que favorezca la identidad viatoriana  •  Modificar luminarias existentes para favorecerla realización de actos y ceremonias,Implementación completa: 100%,0,5000000000.0,0,0,0,0,0,0,0,5000000000,False,0.0,True
17915,2065,ESCUELA PRESIDENTE AGUIRRE CERDA,CARTAGENA,2,Gestión de Recursos,FUNCIONAMIENTO EFECTIVO DEL ESTABLECIMIENTO.,"La directora junto al equipo directivo gestionan en conjunto con el sostenedor de manera efectiva,  la administración del personal, para satisfacer las necesidades pedagógicas, administrativas, extraescolares, convivencia escolar y enfermería para favorecer el buen funcionamiento del establecimiento de acuerdo al presupuesto anual.  (EID, 10.2)",Implementación completa: 100%,709419948,180000000.0,266061535,0,0,0,0,0,0,1155481483,False,0.0,True
28830,3359,LICEO LAURA URRUTIA BENAVENTE,LONGAVÍ,2,Liderazgo,Conservando nuestras tradiciones locales y nacionales.,"El director junto al equipo de gestión programa y socializa, según el calendario escolar, actividades artísticas, culturales, científicas, tradicionales e inclusivas, además de actos cívicos y solemnes propios del establecimiento, con el objetivo de rescatar nuestras raíces y costumbres propias de nuestra identidad.",Implementación completa: 100%,0,15000000000.0,0,0,0,0,0,0,0,15000000000,False,0.0,True
28831,3359,LICEO LAURA URRUTIA BENAVENTE,LONGAVÍ,2,Liderazgo,Promoción de nuestra identidad.,"El director y el equipo de gestión promueven un sentido de pertenencia e identidad con los sellos, distintivos del establecimiento y celebraciones en toda la comunidad educativa, fomentando la participación, la colaboración, la motivación para asistir a actividades y eventos escolares, además de mantenerlos informados sobre los logros y desafíos del establecimiento.",Implementación completa: 100%,0,12000000000.0,0,0,0,0,0,0,0,12000000000,False,0.0,True
36705,4565,LICEO DOMINGO SANTA MARÍA,CONCEPCIÓN,6,Gestión Pedagógica,Nivelación restitutiva,"Se implementará un plan de nivelación restitutiva para todos los estudiantes, que reduzca las brechas de aprendizajes a objeto de potenciar los nuevos aprendizajes en forma gradual y sistemática.",Implementación completa: 100%,0,5500000000.0,0,0,0,0,0,0,0,5500000000,False,0.0,True
37023,4616,ESCUELA BASICA MICHAIHUE,SAN PEDRO DE LA PAZ,2,Convivencia Escolar,Actualizacion sy socializacion del manual de convivencia con mirada formativa,"Realizar actualizaciones a los protocolos del manual de convivencia socializado y difundido para toda la comunidad educativa, reuniones de estudio de casos, intervenciones, individuales , grupales , vinculación con red colaboradora, intervención sicosocial, reuniones de articulación con gestión pedagógica y liderazgo.",Implementación avanzada: 75% a 99%,0,40000000000.0,0,0,0,0,0,0,0,40000000000,False,0.0,True
37030,4616,ESCUELA BASICA MICHAIHUE,SAN PEDRO DE LA PAZ,2,Gestión Pedagógica,coordinaciones pedagógicas para el proceso efectivo de aprendizaje,"Equipo de coordinadores para: apoyo técnico, departamentos, planes internos , implementan, monitorean ,hacen seguimiento, sistematizan y evalúan , la reactivación y recuperación de los aprendizajes , promoviendo habilidades profesionales y de los estudiantes con la finalidad de verificar la implementación curricular la movilidad de aprendizajes y el desarrollo integral en las metas propuestas.",Implementación avanzada: 75% a 99%,0,25000000000.0,0,0,0,0,0,0,0,25000000000,False,0.0,True
37031,4616,ESCUELA BASICA MICHAIHUE,SAN PEDRO DE LA PAZ,2,Gestión Pedagógica,Acompañamiento en la implementación de estrategias efectivas en el aula,"Proyecto ADECO para contribuir a la mejora de las practicas pedagógicas monitoreo de actividades, planificaciones y evaluaciones para fortalecer las practicas metodológicas confección de material implementación de programas planes y proyectos educativos de todos los niveles y tipos de formación en base al conocimiento integral de los estudiantes.",Implementación avanzada: 75% a 99%,0,25000000000.0,0,0,0,0,0,0,0,25000000000,False,0.0,True
44386,5570,LICEO PABLO NERUDA,TEMUCO,2,Gestión de Recursos,Conformación del equipo de apoyo de trabajo académico y administrativo del establecimiento.,El director/a gestiona la contratación de personal docente y no docente para fortalecer la labor académica e institucional del establecimiento.,Implementación completa: 100%,0,933725000.0,214704000,0,96760000,0,0,0,0,1245189000,False,0.0,True
45933,5759,ESCUELA PARTICULAR BOYECO,TEMUCO,3,Gestión Pedagógica,Trabajo colaborativo PIE,"Sistematizar el trabajo colaborativo y la co-enseñanza a través de la articulación de los equipos de aula, con la finalidad de adecuar el curriculum y material pedagógico para los estudiantes que lo requieran.",Implementación completa: 100%,0,0.0,1500000000,0,0,0,0,0,0,1500000000,False,0.0,True
67688,9097,ESCUELA REPUBLICA DE COSTA RICA,ÑUÑOA,1,Liderazgo,Comunicación y difusión de información y procesos del Establecimiento.,"Instalación de un sistema de diferentes medios de comunicación a cada uno (a) de los integrantes de la Comunidad Educativa, como son: Comunicados, (vía correo y agenda), Memos Internos, Cronogramas semanales y correos institucionales, que se difundan con cada uno (a), de las actividades y procesos que se están llevando a cabo.",Implementación completa: 100%,0,5000000000.0,0,0,0,0,0,0,0,5000000000,False,0.0,True
68589,9200,COLEGIO PARTICULAR JORGE PRIETO LETELIER,PEÑALOLÉN,3,Gestión de Recursos,Plan de presupuesto de personal,"Establecer un plan de presupuesto, que de respuesta a las necesidades de recursos humanos del colegio, incorporando a las y los funcionarios que responde al uso de los diferentes subvenciones que se reciben y darle estabilidad financiera, durante el año, con empresa de contabilidad.",Implementación completa: 100%,800000000,350000000.0,90000000,5000000,6000000,0,0,0,0,1251000000,False,0.0,True
98717,16428,ESC. MONSENOR MANUEL LARRAIN ERRAZURIZ,HUALAÑÉ,2,Gestión de Recursos,DOTACIÓN DE PERSONAL IDÓNEO,"El sostenedor y el equipo directivo implementan procedimientos para garantizar la disponibilidad del personal requerido, cubriendo eficazmente las vacantes existentes, gestionando de manera eficiente las solicitudes de contratación, buscando activamente profesionales idóneos y llevando a cabo de manera ágil las sustituciones temporales en caso de necesidad.",Implementación completa: 100%,800000000,120000000.0,200000000,0,0,0,0,0,0,1120000000,False,0.0,True
99173,16484,COLEGIO MANSO DE VELASCO,CAUQUENES,3,Liderazgo,Equipo de Gestión,"La formación de un equipo profesional liderado por el sostenedor integrado por director, UTP, coordinador PIE, coordinador SEP, coordinadores departamentos o unidades, convocados en reuniones periódicas semanales para analizar y dar sentido y orientación al accionar del  establecimiento.",Implementación completa: 100%,0,25000000000.0,0,0,0,0,0,0,0,25000000000,False,0.0,True
103911,18015,ESCUELA BASICA FORJADORES DE CHILE,PENCO,2,Gestión de Recursos,Atendiendo a la diversidad,"Directora gestionará el personal necesario para atender a los requerimientos de la escuela, la diversidad de estudiantes, entregar apoyo psicológico y pedagógico de especialistas, Tens para la atención de primeros auxilios y todo lo necesario para dar cumplimiento al PEI.",Implementación completa: 100%,0,49600000000.0,0,0,0,0,0,0,0,49600000000,False,0.0,True
