RBD,acciones,estim_total,estim_sep,pct_completas,avance_min,avance_max,porc_ben,montos_extremos,faltantes_sep,duplicados,nombre_pme,NOM_RBD,NOM_COM_RBD,COD_DEPE,RURAL_RBD,ESTADO_ESTAB,MAT_TOTAL,ENS_01,_merge,estim_por_alumno,elegible
1,15,199381892,199381892.0,1.0,100.0,100.0,65.1,0,0,0,LICEO POLITECNICO ARICA,LICEO POLITECNICO ARICA,ARICA,6,0,1,840,463,both,237359.39523809523,True
2,10,74023193,74023193.0,0.3,75.0,89.4,79.3,0,0,0,PARVULARIO LAS ESPIGUITAS,PARVULARIO LAS ESPIGUITAS,ARICA,6,0,1,121,10,both,611761.9256198347,True
3,8,1600000,0.0,1.0,100.0,100.0,0.0,0,0,0,ESC. PEDRO VICENTE GUTIERREZ TORRES,ESC. PEDRO VICENTE GUTIERREZ TORRES,ARICA,6,1,1,588,165,both,2721.08843537415,True
4,39,487376449,487376449.0,0.9487179487179487,94.87179487179488,94.87179487179488,86.9,0,0,0,LICEO OCTAVIO PALMA PEREZ,LICEO OCTAVIO PALMA PEREZ,ARICA,6,0,1,1203,310,both,405134.20532003324,True
5,16,206640000,206640000.0,0.875,92.1875,93.6875,76.5,0,0,0,JOVINA NARANJO FERNANDEZ,JOVINA NARANJO FERNANDEZ,ARICA,6,0,1,797,110,both,259272.27101631116,True
7,19,598909047,510409047.0,0.10526315789473684,73.6842105263158,95.15789473684211,88.6,0,0,0,L. POLI. ANTONIO VARAS DE LA BARRA,L. POLI. ANTONIO VARAS DE LA BARRA,ARICA,6,0,1,1098,410,both,545454.5054644808,True
8,37,314300000,314300000.0,0.7027027027027027,84.48648648648648,90.94594594594595,77.9,0,0,0,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,ARICA,6,0,1,691,10,both,454848.0463096961,True
9,20,623933613,623933613.0,1.0,100.0,100.0,83.4,0,0,0,ESCUELA REPUBLICA DE ISRAEL,ESCUELA REPUBLICA DE ISRAEL,ARICA,6,0,1,1426,10,both,437541.103085554,True
10,14,30605532,30605532.0,0.7857142857142857,94.64285714285714,99.78571428571429,66.5,0,0,0,ESCUELA REPUBLICA DE FRANCIA,ESCUELA REPUBLICA DE FRANCIA,ARICA,6,0,1,158,10,both,193705.8987341772,True
11,13,222500000,222500000.0,0.9230769230769231,96.15384615384616,98.0,83.1,0,0,0,ESC. GRAL. PEDRO LAGOS MARCHANT,ESC. GRAL. PEDRO LAGOS MARCHANT,ARICA,6,0,1,349,10,both,637535.8166189112,True
12,15,181700000,181700000.0,0.5333333333333333,85.0,96.2,90.2,0,0,0,ESCUELA GRAL JOSE MIGUEL CARRERA,ESCUELA GRAL JOSE MIGUEL CARRERA,ARICA,6,0,1,326,10,both,557361.9631901841,True
13,17,124204116,124204116.0,0.9411764705882353,94.17647058823529,95.52941176470588,88.2,0,0,0,ESCUELA MANUEL RODRIGUEZ ERDOYZA,ESCUELA MANUEL RODRIGUEZ ERDOYZA,ARICA,6,0,1,262,10,both,474061.51145038166,True
14,18,228060973,228060973.0,0.8333333333333334,88.88888888888889,91.55555555555556,81.5,0,0,0,ESCUELA ROMULO J. PENA MATURANA,ESCUELA ROMULO J. PENA MATURANA,ARICA,6,0,1,362,10,both,630002.6878453039,True
15,31,198694743,198694743.0,0.5806451612903226,85.48387096774194,94.7741935483871,83.9,0,0,0,LICEO BICENTENARIO ARTISTICO DR. JUAN NOE CREVANI,LICEO BICENTENARIO ARTISTICO DR. JUAN NOE CREVANI,ARICA,6,0,1,398,110,both,499233.0226130653,True
16,19,182681342,182681342.0,0.9473684210526315,98.6842105263158,99.94736842105263,80.1,0,0,0,ESCUELA REGIMIENTO RANCAGUA,ESCUELA REGIMIENTO RANCAGUA,ARICA,6,0,1,296,10,both,617166.6959459459,True
17,17,199872413,199872413.0,0.11764705882352941,75.0,96.17647058823529,85.0,0,0,0,ESCUELA SUBTTE. LUIS CRUZ MARTINEZ,ESCUELA SUBTTE. LUIS CRUZ MARTINEZ,ARICA,6,0,1,426,10,both,469184.06807511736,True
18,16,206300000,206300000.0,1.0,100.0,100.0,83.1,0,0,0,ESC. COMTE. JUAN JOSE SAN MARTIN,ESC. COMTE. JUAN JOSE SAN MARTIN,ARICA,6,0,1,325,10,both,634769.2307692308,True
19,17,173000000,173000000.0,0.8235294117647058,92.6470588235294,96.88235294117646,82.3,0,0,0,ESC. HUMBERTO VALENZUELA GARCIA,ESC. HUMBERTO VALENZUELA GARCIA,ARICA,6,0,1,299,10,both,578595.3177257525,True
20,9,248933444,248933444.0,0.8888888888888888,97.22222222222223,99.88888888888889,78.3,0,0,0,ESCUELA TUCAPEL,ESCUELA TUCAPEL,ARICA,6,0,1,447,10,both,556898.0850111857,True
22,12,524329381,516329381.0,0.6666666666666666,83.33333333333333,89.33333333333333,89.5,0,0,0,ESCUELA GABRIELA MISTRAL,ESCUELA GABRIELA MISTRAL,ARICA,6,0,1,839,10,both,624945.6269368295,True
25,23,404708848,404708848.0,0.9130434782608695,97.82608695652173,99.91304347826087,86.2,0,0,0,COLEGIO CENTENARIO DE ARICA,COLEGIO CENTENARIO DE ARICA,ARICA,6,0,1,827,10,both,489369.82829504233,True
26,25,120885874,120885874.0,0.96,99.0,99.96,78.9,0,0,0,ESCUELA REPUBLICA DE ARGENTINA,ESCUELA REPUBLICA DE ARGENTINA,ARICA,6,0,1,261,10,both,463164.2681992337,True
27,15,109512828,109512828.0,0.9333333333333333,96.66666666666667,98.26666666666667,71.7,0,0,0,ESCUELA ESMERALDA,ESCUELA ESMERALDA,ARICA,6,0,1,304,10,both,360239.5657894737,True
