factura,serie,familia,valor_clp,pagina_pdf
1220.0,8JUBB20302214379,Huawei T3,82367,39
1220.0,8JUBB20302214368,Huawei T3,82367,39
1220.0,8JUBB20302214397,Huawei T3,82367,39
1220.0,8JUBB20302214167,Huawei T3,82367,39
1220.0,8JUBB20302214202,Huawei T3,82367,39
1220.0,8JUBB20302214156,Huawei T3,82367,39
1220.0,8JUBB20302214152,Huawei T3,82367,39
1220.0,8JUBB20302214147,Huawei T3,82367,39
1220.0,8JUBB20302214132,Huawei T3,82367,39
1221.0,8JUBB20302213838,Huawei T3,82367,39
1221.0,8JUBB20302212205,Huawei T3,82367,39
1221.0,8JUBB20302212197,Huawei T3,82367,39
1221.0,8JUBB20302212195,Huawei T3,82367,39
1221.0,8JUBB20302212192,Huawei T3,82367,39
1221.0,8JUBB20302212182,Huawei T3,82367,39
1221.0,8JUBB20302212181,Huawei T3,82367,39
1221.0,QQ15B92W09,Huawei T3,82367,39
2.0,355041990295979,Samsung A8/T295,130900,41
2.0,355041990293891,Samsung A8/T295,130900,41
2.0,355041992257936,Samsung A8/T295,130900,41
2.0,355041992257621,Samsung A8/T295,130900,41
2.0,355041992254750,Samsung A8/T295,130900,41
2.0,355041992248364,Samsung A8/T295,130900,41
2.0,359041992249610,Samsung A8/T295,130900,41
2.0,355041992250782,Samsung A8/T295,130900,41
2.0,358893199669868,Samsung A8/T295,130900,41
2.0,355041990295268,Samsung A8/T295,130900,41
2.0,355041992254966,Samsung A8/T295,130900,41
2.0,355041992250931,Samsung A8/T295,130900,41
2.0,355041990288198,Samsung A8/T295,130900,41
2.0,355041990294980,Samsung A8/T295,130900,42
2.0,355041992247200,Samsung A8/T295,130900,42
2.0,355041992252465,Samsung A8/T295,130900,42
2.0,355041990295110,Samsung A8/T295,130900,42
2.0,355041992259486,Samsung A8/T295,130900,42
2.0,355041990296753,Samsung A8/T295,130900,42
2.0,355041992257068,Samsung A8/T295,130900,42
2.0,355041992250063,Samsung A8/T295,130900,42
2.0,355041992254677,Samsung A8/T295,130900,42
2.0,355041992257084,Samsung A8/T295,130900,42
2.0,355041992257076,Samsung A8/T295,130900,42
2.0,355041992254982,Samsung A8/T295,130900,42
2.0,355041992246038,Samsung A8/T295,130900,42
2.0,355041992257662,Samsung A8/T295,130900,42
2.0,355041992246079,Samsung A8/T295,130900,42
13960.0,355041991226635,Samsung A8/T295,142681,42
13960.0,355041991227260,Samsung A8/T295,142681,42
13960.0,355041991227641,Samsung A8/T295,142681,42
13960.0,355041991227849,Samsung A8/T295,142681,42
13960.0,355041991228474,Samsung A8/T295,142681,42
13960.0,355041991228524,Samsung A8/T295,142681,42
13960.0,355041991228896,Samsung A8/T295,142681,42
13960.0,355041991229985,Samsung A8/T295,142681,42
13960.0,355041991230504,Samsung A8/T295,142681,42
13960.0,3588931991230590,Samsung A8/T295,142681,42
13960.0,355041991236360,Samsung A8/T295,142681,42
13960.0,355041991238705,Samsung A8/T295,142681,43
13960.0,355041991239596,Samsung A8/T295,142681,43
13960.0,358893199779949,Samsung A8/T295,142681,43
13960.0,358893199781036,Samsung A8/T295,142681,43
13960.0,358893199782422,Samsung A8/T295,142681,43
13960.0,358893199785334,Samsung A8/T295,142681,43
13960.0,358893199786530,Samsung A8/T295,142681,43
13960.0,358893199786860,Samsung A8/T295,142681,43
13960.0,358893199787140,Samsung A8/T295,142681,43
13960.0,355041991226023,Samsung A8/T295,142681,43
13960.0,355041991238291,Samsung A8/T295,142681,43
13960.0,355041991237467,Samsung A8/T295,142681,43
13960.0,358893199781994,Samsung A8/T295,142681,43
13960.0,358893199779071,Samsung A8/T295,142681,43
13960.0,355041990304151,Samsung A8/T295,142681,43
13960.0,358893199802014,Samsung A8/T295,142681,43
13960.0,358893199802428,Samsung A8/T295,142681,43
13960.0,358893199800760,Samsung A8/T295,142681,43
13960.0,358893199810520,Samsung A8/T295,142681,43
13960.0,358893199816618,Samsung A8/T295,142681,43
13960.0,358893199808615,Samsung A8/T295,142681,43
13960.0,358893199808342,Samsung A8/T295,142681,43
13960.0,358893199810488,Samsung A8/T295,142681,43
13960.0,358893199808151,Samsung A8/T295,142681,43
13960.0,358893199811908,Samsung A8/T295,142681,43
13960.0,358893199812138,Samsung A8/T295,142681,43
13960.0,355041991226262,Samsung A8/T295,142681,44
13960.0,355041991234647,Samsung A8/T295,142681,44
13960.0,355041991233425,Samsung A8/T295,142681,44
13960.0,355041991236286,Samsung A8/T295,142681,44
13960.0,355041991225652,Samsung A8/T295,142681,44
13960.0,355041991226254,Samsung A8/T295,142681,44
13960.0,358893199781366,Samsung A8/T295,142681,44
13960.0,358893199785938,Samsung A8/T295,142681,44
13960.0,358893199785391,Samsung A8/T295,142681,44
13960.0,358893199788262,Samsung A8/T295,142681,44
13960.0,358893199780004,Samsung A8/T295,142681,44
13960.0,358893199782083,Samsung A8/T295,142681,44
13960.0,358893199778594,Samsung A8/T295,142681,44
13960.0,358893199787769,Samsung A8/T295,142681,44
13960.0,358893199778685,Samsung A8/T295,142681,44
13960.0,358893199802154,Samsung A8/T295,142681,44
13960.0,358893199797453,Samsung A8/T295,142681,44
13960.0,358893199797669,Samsung A8/T295,142681,44
13960.0,358893199779212,Samsung A8/T295,142681,44
13960.0,358893199779980,Samsung A8/T295,142681,44
13982.0,358893199329760,Samsung A8/T295,142205,46
13982.0,358893199796828,Samsung A8/T295,142205,46
13982.0,358893199326774,Samsung A8/T295,142205,46
13982.0,358893199326824,Samsung A8/T295,142205,46
13982.0,358893199018983,Samsung A8/T295,142205,46
13982.0,358893199329737,Samsung A8/T295,142205,46
13982.0,358893199018843,Samsung A8/T295,142205,46
13982.0,358893199018322,Samsung A8/T295,142205,46
13982.0,358893199817137,Samsung A8/T295,142205,46
13982.0,358893199815131,Samsung A8/T295,142205,46
13982.0,358893199815149,Samsung A8/T295,142205,46
13982.0,358893199813359,Samsung A8/T295,142205,46
13982.0,358893199810702,Samsung A8/T295,142205,47
13982.0,358893199809449,Samsung A8/T295,142205,47
13982.0,358893199809126,Samsung A8/T295,142205,47
13982.0,358893199897057,Samsung A8/T295,142205,47
13982.0,358893199799038,Samsung A8/T295,142205,47
13982.0,358893199799046,Samsung A8/T295,142205,47
13982.0,358893199799061,Samsung A8/T295,142205,47
13982.0,358893199799103,Samsung A8/T295,142205,47
13982.0,358893199799053,Samsung A8/T295,142205,47
13982.0,358893199807104,Samsung A8/T295,142205,47
13982.0,358893199808409,Samsung A8/T295,142205,47
13982.0,358893199808516,Samsung A8/T295,142205,47
13982.0,358893199808573,Samsung A8/T295,142205,47
13982.0,358893199319126,Samsung A8/T295,142205,47
13982.0,358893199322559,Samsung A8/T295,142205,47
13982.0,358893199324571,Samsung A8/T295,142205,47
13982.0,358893199325305,Samsung A8/T295,142205,47
13982.0,358893199325560,Samsung A8/T295,142205,47
13982.0,358893199024460,Samsung A8/T295,142205,47
13982.0,358893199809381,Samsung A8/T295,142205,47
13985.0,HA1D2H7K,Lenovo P11 + teclado/lápiz,349999,47
13985.0,HA1E6L12,Lenovo P11 + teclado/lápiz,349999,47
13985.0,HA1E6J4T,Lenovo P11 + teclado/lápiz,349999,47
13985.0,HA1DKAT8,Lenovo P11 + teclado/lápiz,349999,47
13985.0,HA1DPMZC,Lenovo P11 + teclado/lápiz,349999,47
13985.0,HA1D3BXY,Lenovo P11 + teclado/lápiz,349999,47
13985.0,HA1D39Z5,Lenovo P11 + teclado/lápiz,349999,48
13985.0,HA1D39TV,Lenovo P11 + teclado/lápiz,349999,48
13985.0,HA1D37W0,Lenovo P11 + teclado/lápiz,349999,48
13985.0,HA1D37VH,Lenovo P11 + teclado/lápiz,349999,48
13985.0,HA1D360M,Lenovo P11 + teclado/lápiz,349999,48
13985.0,HA1D360J,Lenovo P11 + teclado/lápiz,349999,48
13985.0,HA1D35ZF,Lenovo P11 + teclado/lápiz,349999,48
13985.0,HA1D342Z,Lenovo P11 + teclado/lápiz,349999,48
13985.0,HA1D2W1C,Lenovo P11 + teclado/lápiz,349999,48
13985.0,HA1D2W1T,Lenovo P11 + teclado/lápiz,349999,48
13985.0,HA1D2TAS,Lenovo P11 + teclado/lápiz,349999,48
13985.0,HA1D2T5G,Lenovo P11 + teclado/lápiz,349999,48
13985.0,HA1D2RDB,Lenovo P11 + teclado/lápiz,349999,48
13985.0,HA1D2M5N,Lenovo P11 + teclado/lápiz,349999,48
13985.0,HA1D2M4L,Lenovo P11 + teclado/lápiz,349999,48
13985.0,HA1D2K93,Lenovo P11 + teclado/lápiz,349999,48
13985.0,HA1D2K8M,Lenovo P11 + teclado/lápiz,349999,48
13985.0,HA1D2HAB,Lenovo P11 + teclado/lápiz,349999,48
13985.0,HA1D2FEN,Lenovo P11 + teclado/lápiz,349999,48
13985.0,HA1D2F8P,Lenovo P11 + teclado/lápiz,349999,48
13985.0,HA1E8H2P,Lenovo P11 + teclado/lápiz,349999,48
13985.0,HA1E8H06,Lenovo P11 + teclado/lápiz,349999,48
13985.0,HA1E8F3M,Lenovo P11 + teclado/lápiz,349999,48
13985.0,HA1E8CZ6,Lenovo P11 + teclado/lápiz,349999,48
13985.0,HA1E896L,Lenovo P11 + teclado/lápiz,349999,48
13985.0,HA1E891C,Lenovo P11 + teclado/lápiz,349999,48
13985.0,HA1E876L,Lenovo P11 + teclado/lápiz,349999,49
13985.0,HA1E875Q,Lenovo P11 + teclado/lápiz,349999,49
13985.0,HA1E857Q,Lenovo P11 + teclado/lápiz,349999,49
13985.0,HA1E838A,Lenovo P11 + teclado/lápiz,349999,49
13985.0,HA1E836P,Lenovo P11 + teclado/lápiz,349999,49
13985.0,HA1E83AT,Lenovo P11 + teclado/lápiz,349999,49
13985.0,HA1E81CA,Lenovo P11 + teclado/lápiz,349999,49
13985.0,HA1E81BG,Lenovo P11 + teclado/lápiz,349999,49
13985.0,HA1E81AD,Lenovo P11 + teclado/lápiz,349999,49
13985.0,HA1E816Y,Lenovo P11 + teclado/lápiz,349999,49
13985.0,HA1E814X,Lenovo P11 + teclado/lápiz,349999,49
13985.0,HA1E7ZAP,Lenovo P11 + teclado/lápiz,349999,49
13985.0,HA1E7XBT,Lenovo P11 + teclado/lápiz,349999,49
13985.0,HA1D2F7T,Lenovo P11 + teclado/lápiz,349999,49
13985.0,HA1D1ENW,Lenovo P11 + teclado/lápiz,349999,49
13985.0,HA1D18M9,Lenovo P11 + teclado/lápiz,349999,49
13985.0,HA1D16KY,Lenovo P11 + teclado/lápiz,349999,49
13985.0,HA1EAA2C,Lenovo P11 + teclado/lápiz,349999,49
