fila_excel,RBD,COD_DEPE,DIMENSION,ESTIM_TOTAL,ESTIM_SEP,NIV_IMPLEM,duplicado_exacto_adicional,total_mayor_1000_millones
72388,9693,2,Convivencia Escolar,4000000,4000000.0,Implementación completa: 100%,False,False
72389,9693,2,Convivencia Escolar,30000000,30000000.0,Implementación completa: 100%,False,False
72390,9693,2,Convivencia Escolar,20000000,15000000.0,Implementación completa: 100%,False,False
72391,9693,2,Gestión de Recursos,144000000,144000000.0,Implementación completa: 100%,False,False
72392,9693,2,Gestión de Recursos,90000000,90000000.0,Implementación completa: 100%,False,False
72393,9693,2,Gestión Pedagógica,97000000,97000000.0,Implementación completa: 100%,False,False
72394,9693,2,Gestión Pedagógica,1000000,1000000.0,Implementación inicial: 1% a 24%,False,False
72395,9693,2,Gestión Pedagógica,25500000,25500000.0,Implementación completa: 100%,False,False
72396,9693,2,Gestión Pedagógica,12400000,12400000.0,Implementación completa: 100%,False,False
72397,9693,2,Gestión Pedagógica,16000000,16000000.0,Implementación completa: 100%,False,False
72398,9693,2,Liderazgo,2000000,2000000.0,Implementación completa: 100%,False,False
72399,9693,2,Liderazgo,40500000,40500000.0,Implementación completa: 100%,False,False
72400,9693,2,Liderazgo,4000000,4000000.0,Implementación completa: 100%,False,False
72401,9693,2,Liderazgo,1000000,1000000.0,Implementación completa: 100%,False,False
72445,9699,2,Convivencia Escolar,0,0.0,Implementación completa: 100%,False,False
72446,9699,2,Convivencia Escolar,25000000,25000000.0,Implementación completa: 100%,False,False
72447,9699,2,Convivencia Escolar,3000000,3000000.0,Implementación avanzada: 75% a 99%,False,False
72448,9699,2,Convivencia Escolar,10000000,10000000.0,Implementación completa: 100%,False,False
72449,9699,2,Convivencia Escolar,2000000,2000000.0,Implementación completa: 100%,False,False
72450,9699,2,Gestión de Recursos,9500000,9500000.0,Implementación completa: 100%,False,False
72451,9699,2,Gestión de Recursos,117000000,117000000.0,Implementación completa: 100%,False,False
72452,9699,2,Gestión Pedagógica,3000000,3000000.0,Implementación completa: 100%,False,False
72453,9699,2,Gestión Pedagógica,2000000,2000000.0,Implementación avanzada: 75% a 99%,False,False
72454,9699,2,Gestión Pedagógica,1500000,1500000.0,Implementación completa: 100%,False,False
72455,9699,2,Gestión Pedagógica,6000000,6000000.0,Implementación completa: 100%,False,False
72456,9699,2,Gestión Pedagógica,5000000,5000000.0,Implementación completa: 100%,False,False
72457,9699,2,Gestión Pedagógica,10000000,10000000.0,Implementación completa: 100%,False,False
72458,9699,2,Gestión Pedagógica,25000000,25000000.0,Implementación completa: 100%,False,False
72459,9699,2,Liderazgo,5000000,5000000.0,Implementación completa: 100%,False,False
72460,9699,2,Liderazgo,0,0.0,Implementación completa: 100%,False,False
72461,9699,2,Liderazgo,0,0.0,Implementación completa: 100%,False,False
72462,9699,2,Liderazgo,0,0.0,Implementación completa: 100%,False,False
72463,9700,2,Convivencia Escolar,3500000,3500000.0,Implementación completa: 100%,False,False
72464,9700,2,Convivencia Escolar,0,0.0,Implementación avanzada: 75% a 99%,False,False
72465,9700,2,Convivencia Escolar,3000000,3000000.0,Implementación avanzada: 75% a 99%,False,False
72466,9700,2,Convivencia Escolar,6500000,6500000.0,Implementación avanzada: 75% a 99%,False,False
72467,9700,2,Gestión de Recursos,4000000,4000000.0,Implementación adecuada: 50% a 74%,False,False
72468,9700,2,Gestión de Recursos,56343885,56343885.0,Implementación completa: 100%,False,False
72469,9700,2,Gestión Pedagógica,24430000,24430000.0,Implementación avanzada: 75% a 99%,False,False
72470,9700,2,Gestión Pedagógica,4500000,4500000.0,Implementación adecuada: 50% a 74%,False,False
72471,9700,2,Gestión Pedagógica,3000000,3000000.0,Implementación avanzada: 75% a 99%,False,False
72472,9700,2,Gestión Pedagógica,4500000,4500000.0,Implementación avanzada: 75% a 99%,False,False
72473,9700,2,Liderazgo,17150000,15500000.0,Implementación completa: 100%,False,False
72474,9700,2,Liderazgo,9512111,9512111.0,Implementación avanzada: 75% a 99%,False,False
72475,9701,2,Convivencia Escolar,3000000,3000000.0,Implementación completa: 100%,False,False
72476,9701,2,Convivencia Escolar,3000000,3000000.0,Implementación completa: 100%,False,False
72477,9701,2,Convivencia Escolar,2000000,2000000.0,Implementación completa: 100%,False,False
72478,9701,2,Convivencia Escolar,2000000,2000000.0,Implementación completa: 100%,False,False
72479,9701,2,Convivencia Escolar,3000000,3000000.0,Implementación completa: 100%,False,False
72480,9701,2,Gestión de Recursos,0,0.0,Implementación completa: 100%,False,False
72481,9701,2,Gestión de Recursos,44000000,44000000.0,Implementación completa: 100%,False,False
72482,9701,2,Gestión de Recursos,2000000,2000000.0,Implementación completa: 100%,False,False
72483,9701,2,Gestión de Recursos,122000000,122000000.0,Implementación completa: 100%,False,False
72484,9701,2,Gestión Pedagógica,0,0.0,Implementación completa: 100%,False,False
72485,9701,2,Gestión Pedagógica,3000000,3000000.0,Implementación completa: 100%,False,False
72486,9701,2,Gestión Pedagógica,0,0.0,Implementación completa: 100%,False,False
72487,9701,2,Gestión Pedagógica,2594000,2594000.0,Implementación completa: 100%,False,False
72488,9701,2,Liderazgo,16200000,16200000.0,Implementación completa: 100%,False,False
72489,9701,2,Liderazgo,0,0.0,Implementación completa: 100%,False,False
